"","RMSE","Adjusted_R2","R2","F_Statistic.value","F_p_val.NA","formula1","formula2","formula3"
"Anxiety_AIC_model","2.67143599594044","0.0693318150094764","0.0797448856107689","7.65815278356704",NA,"~","Anxiety","Age + Music_effects + Frequency_Folk + Frequency_Pop + Exploratory + Frequency_Metal + Foreign_languages"
"Anxiety_BIC_model","2.68996511779959","0.0616854940288484","0.0669348059503652","12.7511580472098",NA,"~","Anxiety","Age + Frequency_Folk + Music_effects"
"Anxiety_Cp_model","2.63350129527619","0.0719474140771296","0.105694780837961","3.13194157004967",NA,"~","Anxiety","Age + Primary_streaming_service + Fav_genre + Exploratory + Foreign_languages + Frequency_Folk + Music_effects"
"Anxiety_AdjR2_model","2.73466762447177","0.034314699051032","0.0356653078635481","26.4068378149462",NA,"~","Anxiety","Age"
"Depression_AIC_model","2.85910399432128","0.0915010513335526","0.102936702435648","9.00138536202706",NA,"~","Depression","Frequency_Rock + Music_effects + Frequency_Rap + Age + Frequency_Metal + Frequency_Country + Frequency_Folk + Hours_per_day"
"Depression_BIC_model","2.89259034645874","0.075334313082337","0.0818005066971458","12.6504883042485",NA,"~","Depression","Age + Frequency_Rap + Frequency_Rock + Music_effects"
"Depression_Cp_model","2.83610411467323","0.0892895270277511","0.11731138773459","4.18642391245493",NA,"~","Depression","Age + Fav_genre + Frequency_Country + Frequency_Metal + Frequency_Rap + Frequency_Rock + Music_effects"
"Depression_AdjR2_model","2.96333817238591","0.0349863760332364","0.0363360454373857","26.9221820733855",NA,"~","Depression","Frequency_Rock"
"Insomnia_AIC_model","2.99059359492558","0.0496756540291685","0.0576504037855671","7.22911759573534",NA,"~","Insomnia","Frequency_Metal + Hours_per_day + Frequency_Classical + Frequency_Country + Frequency_EDM + Composer"
"Insomnia_BIC_model","3.02334131571892","0.0341979540605986","0.0368994982450445","13.6586691631746",NA,"~","Insomnia","Hours_per_day + Frequency_Metal"
"Insomnia_Cp_model","2.96361889528908","0.0479424564186678","0.0745734366587051","2.80025128577846",NA,"~","Insomnia","Hours_per_day + Fav_genre + Frequency_Classical + Frequency_Country + Frequency_EDM + Frequency_Metal"
"Insomnia_AdjR2_model","3.04384341173836","0.0224258824148013","0.0237931189428925","17.4023429406983",NA,"~","Insomnia","Frequency_Metal"
"OCD_AIC_model","2.78837503134065","0.0332418948807561","0.0400024410704012","5.91704278741144",NA,"~","OCD","Age + Hours_per_day + Frequency_Country + Frequency_EDM + Foreign_languages"
"OCD_BIC_model","2.80407980565999","0.0264348714749879","0.0291581305757572","10.7070717463207",NA,"~","OCD","Age + Hours_per_day"
"OCD_Cp_model","2.78837503134065","0.0332418948807561","0.0400024410704012","5.91704278741144",NA,"~","OCD","Age + Hours_per_day + Foreign_languages + Frequency_Country + Frequency_EDM"
"OCD_AdjR2_model","2.82088272034982","0.0161120323642734","0.0174880994518758","12.7087549796327",NA,"~","OCD","Age"
