Age,Hours_per_day,While_working,Instrumentalist,Composer,Exploratory,Foreign_languages,BPM,Frequency_Classical,Frequency_Country,Frequency_EDM,Frequency_Folk,Frequency_Gospel,Frequency_Hip_hop,Frequency_Jazz,Frequency_K_pop,Frequency_Latin,Frequency_Lofi,Frequency_Metal,Frequency_Pop,Frequency_R_B,Frequency_Rap,Frequency_Rock,Frequency_Video_game_music,Anxiety,Depression,Insomnia,OCD,Music_effects_Improve,Primary_streaming_service_Apple Music,Primary_streaming_service_I do not use a streaming service.,Primary_streaming_service_Other streaming service,Primary_streaming_service_Pandora,Primary_streaming_service_Spotify,Primary_streaming_service_YouTube Music,Fav_genre_Classical,Fav_genre_Country,Fav_genre_EDM,Fav_genre_Folk,Fav_genre_Gospel,Fav_genre_Hip hop,Fav_genre_Jazz,Fav_genre_K pop,Fav_genre_Latin,Fav_genre_Lofi,Fav_genre_Metal,Fav_genre_Pop,Fav_genre_R&B,Fav_genre_Rap,Fav_genre_Rock,Fav_genre_Video game music
18,4.0,0,0,0,0,1,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7.0,7.0,10.0,2.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,2.5,1,0,1,1,1,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9.0,7.0,3.0,3.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,4.0,1,0,0,1,0,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7.0,2.0,5.0,9.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,5.0,1,1,1,1,1,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8.0,8.0,7.0,7.0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,3.0,1,1,0,1,1,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4.0,8.0,6.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,1.0,1,0,0,1,1,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5.0,3.0,5.0,3.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,6.0,1,0,0,0,0,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2.0,0.0,0.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
18,1.0,1,0,0,1,1,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2.0,2.0,5.0,1.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,3.0,1,1,0,1,0,119.277554484215,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,7.0,7.0,4.0,7.0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,8.0,1,0,0,1,0,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,2,1,1,1.0,0.0,0.0,1.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
