"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
18,"Spotify",4,"No","No","No","Video game music","No","Yes",132,"1","1","4","1","1","2","2","4","1","3","3","2","1","2","2","4",7,7,10,2,"No effect"
61,"YouTube Music",2.5,"Yes","No","Yes","Jazz","Yes","Yes",84,"3","1","1","2","3","1","4","3","4","3","1","3","3","1","1","1",9,7,3,3,"Improve"
18,"Spotify",4,"Yes","No","No","R&B","Yes","No",107,"1","1","2","1","2","4","1","4","3","3","1","3","4","4","1","2",7,2,5,9,"Improve"
18,"Spotify",5,"Yes","Yes","Yes","Jazz","Yes","Yes",86,"2","3","1","1","1","3","4","4","2","4","2","4","4","4","4","1",8,8,7,7,"Improve"
18,"YouTube Music",3,"Yes","Yes","No","Video game music","Yes","Yes",66,"3","1","2","3","2","2","3","1","2","2","2","2","2","1","1","3",4,8,6,0,"Improve"
21,"Spotify",1,"Yes","No","No","K pop","Yes","Yes",95,"1","1","2","1","1","4","2","4","1","3","1","3","3","2","1","2",5,3,5,3,"Improve"
19,"Spotify",6,"Yes","No","No","Rock","No","No",94,"1","4","1","3","1","1","1","1","1","1","4","1","1","1","4","1",2,0,0,0,"Improve"
18,"I do not use a streaming service.",1,"Yes","No","No","R&B","Yes","Yes",155,"2","2","2","2","3","2","2","1","2","2","1","3","3","2","3","3",2,2,5,1,"Improve"
18,"Spotify",3,"Yes","Yes","No","Country","Yes","No",119.277554484215,"1","4","1","1","1","1","1","1","1","1","1","2","2","1","2","1",7,7,4,7,"No effect"
19,"YouTube Music",8,"Yes","No","No","EDM","Yes","No",125,"2","1","4","1","1","3","2","2","2","2","1","2","2","3","2","2",1,0,0,1,"Improve"
19,"Spotify",2,"Yes","No","No","Country","Yes","No",88,"1","4","2","3","1","3","1","1","1","2","1","2","1","4","1","1",2,1,2,0,"Improve"
18,"Spotify",4,"Yes","Yes","No","Jazz","Yes","Yes",148,"4","2","1","1","1","1","4","1","3","2","3","3","1","1","3","2",6,4,7,0,"Improve"
17,"Spotify",2,"No","No","No","Pop","Yes","Yes",126.218951034955,"2","2","1","1","1","3","2","2","2","2","2","4","2","3","3","2",7,5,4,1,"Worsen"
16,"Spotify",8,"Yes","No","No","Hip hop","Yes","Yes",103,"1","1","1","1","1","4","1","1","1","1","1","1","3","4","1","2",8,8,4,3,"Improve"
16,"Spotify",12,"Yes","No","Yes","Hip hop","Yes","Yes",120,"2","1","3","2","1","4","2","1","1","1","3","3","2","3","4","1",5,7,10,0,"Improve"
17,"Spotify",24,"Yes","No","No","Rap","Yes","No",99,"2","1","1","1","1","3","3","3","2","1","3","2","3","4","4","1",7,5,0,3,"Improve"
15,"Spotify",3,"No","No","No","Hip hop","No","No",120,"1","1","1","1","1","4","2","1","1","1","2","2","3","4","2","1",7,3,0,2,"Improve"
15,"Apple Music",8,"Yes","No","No","Hip hop","Yes","Yes",120,"2","1","3","2","1","4","3","4","3","2","2","4","2","4","3","3",6,9,3,0,"Improve"
17,"Spotify",4,"Yes","No","No","Rap","Yes","No",125,"1","2","2","1","1","3","1","1","1","2","2","3","1","4","3","1",10,10,2,4,"Improve"
19,"I do not use a streaming service.",5,"Yes","No","No","R&B","Yes","Yes",118,"2","2","3","4","2","4","3","1","1","2","2","2","4","4","3","2",6,7,5,4,"Improve"
18,"Spotify",2,"Yes","No","No","Pop","No","Yes",79,"2","2","3","1","1","2","1","2","3","1","1","4","1","1","1","2",3,3,8,6,"No effect"
16,"Other streaming service",3,"Yes","Yes","Yes","Rock","Yes","Yes",84,"2","2","1","2","3","3","3","1","2","1","3","1","3","2","4","3",10,6,8,10,"Improve"
18,"Spotify",2,"No","No","No","Pop","Yes","Yes",169,"3","2","2","4","2","2","2","4","1","3","1","4","3","3","3","1",7,4,2,5,"Improve"
14,"Spotify",12,"Yes","Yes","Yes","Rock","Yes","Yes",136,"3","3","2","2","2","4","3","1","1","4","1","4","4","4","4","3",8,6,10,5,"Improve"
18,"YouTube Music",6,"Yes","Yes","Yes","Pop","No","Yes",101,"3","2","2","2","2","3","3","1","1","1","1","4","3","3","1","1",3,2,1,2,"Improve"
17,"Spotify",2,"Yes","Yes","No","Pop","Yes","Yes",126,"1","4","2","2","1","1","2","3","4","2","2","4","2","1","3","3",6,6,4,5,"Improve"
17,"Apple Music",1,"Yes","No","No","Pop","Yes","No",183,"2","1","1","2","1","1","3","1","1","1","3","3","1","1","3","1",8,2,1,5,"Improve"
20,"Apple Music",5,"Yes","Yes","No","Rock","Yes","Yes",127.636101077579,"1","2","2","4","1","4","3","1","3","3","4","3","3","3","4","2",7,7,2,0,"Improve"
19,"Spotify",2,"Yes","No","No","Classical","No","No",120,"4","1","1","1","1","2","2","1","1","3","1","4","1","1","1","4",4,4,4,3,"No effect"
19,"Spotify",6,"Yes","Yes","No","Metal","Yes","Yes",144.180685375953,"1","1","1","2","1","2","3","2","1","3","4","3","1","1","3","3",9,8,2,3,"Improve"
17,"Spotify",4,"No","No","No","Rock","Yes","Yes",142,"2","2","2","4","1","3","2","2","1","2","2","4","2","3","4","2",5,6,6,1,"Improve"
16,"Spotify",1,"Yes","No","No","Classical","No","No",75,"4","1","1","2","1","1","1","1","1","1","2","1","1","1","1","2",0,0,0,0,"No effect"
18,"Spotify",5,"Yes","Yes","No","Pop","Yes","No",120,"3","2","3","2","3","3","2","3","2","3","2","4","3","3","2","1",3,2,1,1,"Improve"
21,"Spotify",4,"Yes","No","No","Pop","No","Yes",89,"1","1","2","1","1","3","1","2","2","1","1","4","1","2","1","1",6,8,0,2,"Improve"
17,"Other streaming service",3,"Yes","No","No","Pop","Yes","No",130.417589262811,"1","1","3","1","1","4","2","3","1","1","2","4","3","4","4","1",2,0,4,0,"No effect"
26,"Other streaming service",0.5,"No","No","No","Rock","No","Yes",140,"2","1","2","3","1","1","2","1","1","1","1","2","1","1","4","1",9,8,1,0,"No effect"
